name,year,rating,m_score,votes,genre
Dark Harvest,2023,5.6,,2529.0,"
Fantasy, Horror            "
The Boogeyman,I) (2023,5.9,,33977.0,"
Horror, Mystery, Thriller            "
The Marvels,2023,,,,"
Action, Adventure, Fantasy            "
Anatomie d'une chute,2023,7.8,86.0,6456.0,"
Crime, Drama, Thriller            "
Elemental,2023,7.0,,88204.0,"
Animation, Adventure, Comedy            "
Payback,I) (2023– ,7.1,,676.0,"
Crime, Drama, Thriller            "
Anyone But You,2023,,,,"
Comedy            "
Pet Sematary: Bloodlines,2023,4.7,,6501.0,"
Fantasy, Horror            "
Gran Turismo,2023,7.2,,48832.0,"
Action, Adventure, Drama            "
The Killer,II) (2023,7.4,74.0,1233.0,"
Action, Adventure, Crime            "
The Devil on Trial,2023,5.6,,1712.0,"
Documentary, Crime, Horror            "
Spider-Man: Across the Spider-Verse,2023,8.7,86.0,280695.0,"
Animation, Action, Adventure            "
The Hunger Games: The Ballad of Songbirds and Snakes,2023,,,,"
Action, Adventure, Drama            "
Wonka,2023,,,,"
Adventure, Comedy, Family            "
Dumb Money,2023,7.1,66.0,8299.0,"
Biography, Comedy, Drama            "
The Last of Us,2023– ,8.8,,463943.0,"
Action, Adventure, Drama            "
Awareness,2023,5.2,,1524.0,"
Mystery, Sci-Fi, Thriller            "
Meg 2: The Trench,2023,5.1,,59510.0,"
Action, Adventure, Horror            "
The Great Escaper,2023,7.4,,801.0,"
Drama            "
Renfield,2023,6.4,,75918.0,"
Comedy, Fantasy, Horror            "
Wish,II) (2023,,,,"
Animation, Adventure, Comedy            "
Past Lives,2023,8.0,94.0,35077.0,"
Drama, Romance            "
The Covenant,2023,7.5,63.0,133488.0,"
Action, Drama, Thriller            "
Silo,2023– ,8.1,,92692.0,"
Drama, Mystery, Sci-Fi            "
Ballerina,III) (2023,6.2,,6256.0,"
Action, Thriller            "
The Little Mermaid,I) (2023,7.2,,139772.0,"
Adventure, Family, Fantasy            "
Strays,2023,6.3,,17705.0,"
Adventure, Comedy            "
PAW Patrol: The Mighty Movie,2023,6.0,,2501.0,"
Animation, Action, Adventure            "
Special Ops: Lioness,2023– ,7.7,,28584.0,"
Action, Drama, Thriller            "
Dungeons & Dragons: Honor Among Thieves,2023,7.3,72.0,194646.0,"
Action, Adventure, Comedy            "
Pacto De Silencio,2023– ,6.8,,378.0,"
Crime, Drama, Thriller            "
The Zone of Interest,2023,8.1,95.0,977.0,"
Drama, History, War            "
The Irrational,2023– ,7.0,,1639.0,"
Drama, Thriller            "
American Fiction,2023,7.9,82.0,232.0,"
Comedy, Drama            "
The Other Zoey,2023,6.0,,1989.0,"
Comedy, Drama, Romance            "
Pain Hustlers,2023,5.7,,457.0,"
Crime, Drama            "
After Everything,2023,4.6,,3471.0,"
Drama, Romance            "
Guardians of the Galaxy Vol. 3,2023,7.9,64.0,334775.0,"
Action, Adventure, Comedy            "
Blue Beetle,2023,6.1,61.0,56173.0,"
Action, Adventure, Sci-Fi            "
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.3,74.0,46120.0,"
Animation, Action, Adventure            "
Scream VI,2023,6.5,61.0,106277.0,"
Horror, Mystery, Thriller            "
Ganapath,2023,5.8,,8937.0,"
Action, Drama, Sci-Fi            "
Kimitachi wa dô ikiru ka,2023,7.6,91.0,1973.0,"
Animation, Adventure, Drama            "
Indiana Jones and the Dial of Destiny,2023,6.7,,136246.0,"
Action, Adventure, Sci-Fi            "
Asteroid City,2023,6.6,75.0,81791.0,"
Comedy, Drama, Romance            "
Castlevania: Nocturne,2023– ,7.6,,8491.0,"
Animation, Action, Adventure            "
Slotherhouse,2023,4.8,,1867.0,"
Comedy, Horror, Thriller            "
Spider-Man 2,2023 Video Game,9.6,,1871.0,"
Action, Adventure, Crime            "
John Carpenter's Suburban Screams,2023,4.5,,392.0,"
Horror            "
Evil Dead Rise,2023,6.6,69.0,120470.0,"
Horror            "
Znachor,2023,7.6,,4888.0,"
Drama, Romance            "
The Changeling,2023– ,6.0,,4103.0,"
Drama, Fantasy, Horror            "
The Good Ship Murder,2023– ,5.5,,122.0,"
Crime, Drama, Mystery            "
Love at First Sight,I) (2023,6.8,,21762.0,"
Drama, Romance            "
OMG 2,2023,7.7,,31080.0,"
Comedy, Drama            "
Boiling Point,2023– ,7.9,,1699.0,"
Drama, Thriller            "
The Winter King,2023– ,5.7,,2917.0,"
Drama            "
The Blind,I) (2023,6.6,,1036.0,"
Drama            "
Bottoms,2023,7.0,77.0,16209.0,"
Comedy            "
Fast X,2023,5.8,,100210.0,"
Action, Adventure, Crime            "
House of Villains,2023– ,6.2,,144.0,"
Game-Show, Reality-TV            "
The Last Voyage of the Demeter,2023,6.1,,32239.0,"
Fantasy, Horror            "
Da 'Partments,2023,,,,"
Comedy            "
Wilderness,2023,6.4,,7299.0,"
Drama, Thriller            "
Liebes Kind,2023,7.3,,17094.0,"
Crime, Drama, Mystery            "
The Flash,I) (2023,6.7,,181708.0,"
Action, Adventure, Fantasy            "
The Puppetman,2023,5.3,,927.0,"
Horror            "
The Walking Dead: Dead City,2023– ,7.2,,15267.0,"
Adventure, Drama, Horror            "
57 Seconds,2023,5.3,,2753.0,"
Sci-Fi, Thriller            "
Trolls Band Together,2023,6.0,,750.0,"
Animation, Adventure, Comedy            "
Scott Pilgrim Takes Off,2023– ,,,,"
Animation, Action, Adventure            "
The Super Mario Bros. Movie,2023,7.1,,199240.0,"
Animation, Adventure, Comedy            "
The Miracle Club,2023,6.3,,1188.0,"
Comedy, Drama            "
Khufiya,2023,6.0,,4053.0,"
Action, Biography, Crime            "
Everything Now,2023– ,6.7,,1695.0,"
Comedy, Drama            "
Captain Laserhawk: A Blood Dragon Remix,2023,7.2,,1369.0,"
Animation, Action, Adventure            "
It Lives Inside,2023,5.3,,3322.0,"
Drama, Horror, Thriller            "
Percy Jackson and the Olympians,2023– ,,,,"
Action, Adventure, Family            "
Priscilla,2023,6.7,82.0,958.0,"
Biography, Drama, Music            "
Poker Face,2023– ,7.9,,40849.0,"
Comedy, Crime, Drama            "
